id,im_w,im_h,im_x,im_y,obj_x,obj_y,obj_w,obj_h,berry_size,az,alt,dx,dy
2024-08-15 08:41:44.590061,640,480,320,240,332,236,23.356475830078125,26.357559204101562,615.6196944904514,67.1015625,71.60000000000002,-12,4
2024-08-15 08:41:45.081519,640,480,320,240,333,238,24.069488525390625,27.610137939453125,664.5618983181193,66.03125,71.90000000000002,-13,2
2024-08-15 08:41:45.504157,640,480,320,240,341,239,24.522918701171875,29.659393310546875,727.334890880622,66.1484375,72.05000000000003,-21,1
2024-08-15 08:41:45.927521,640,480,320,240,345,246,24.381805419921875,28.66650390625,698.9411203116179,66.859375,71.15000000000002,-25,-6
2024-08-15 08:41:46.321033,640,480,320,240,346,248,24.955718994140625,27.496139526367188,686.1859314437024,67.71875,69.95000000000002,-26,-8
2024-08-15 08:41:46.740491,640,480,320,240,345,233,24.9420166015625,26.98455810546875,673.0492962524295,68.4296875,71.00000000000001,-25,7
2024-08-15 08:41:47.203819,640,480,320,240,339,235,24.560516357421875,29.478012084960938,723.9951979969628,68.25,71.75000000000001,-19,5
2024-08-15 08:41:47.618620,640,480,320,240,334,235,25.06036376953125,29.520721435546875,739.8000179138035,67.328125,72.50000000000001,-14,5
2024-08-15 08:41:48.058952,640,480,320,240,337,244,24.3006591796875,28.093536376953125,682.6914526484907,66.8515625,71.90000000000002,-17,-4
2024-08-15 08:41:48.481542,640,480,320,240,343,248,24.4139404296875,28.584579467773438,697.8622203338891,67.265625,70.70000000000002,-23,-8
2024-08-15 08:41:48.931048,640,480,320,240,347,245,24.462677001953125,28.515670776367188,697.5696436963044,68.2734375,69.95000000000002,-27,-5
2024-08-15 08:41:49.380738,640,480,320,240,338,237,24.455108642578125,28.232955932617188,690.4400046332739,67.9453125,70.40000000000002,-18,3
2024-08-15 08:41:49.818200,640,480,320,240,342,237,25.0008544921875,27.543777465820312,688.6179725881666,68.2109375,70.85000000000002,-22,3
2024-08-15 08:41:50.244136,640,480,320,240,338,238,24.44061279296875,28.909774780273438,706.5726113365963,67.8828125,71.15000000000002,-18,2
2024-08-15 08:41:50.687692,640,480,320,240,340,242,24.318328857421875,28.916397094726562,703.198453921359,67.8515625,70.85000000000002,-20,-2
2024-08-15 08:41:51.115871,640,480,320,240,341,240,24.889617919921875,28.276290893554688,703.7860765331425,67.96875,70.85000000000002,-21,0
2024-08-15 08:41:52.386772,640,480,320,240,343,295,25.4393310546875,28.79718017578125,732.5809999331832,68.3828125,62.60000000000002,-23,-55
2024-08-15 08:41:52.915210,640,480,320,240,346,240,26.482940673828125,30.94049072265625,819.395180227235,69.2421875,62.60000000000002,-26,0
2024-08-15 08:41:53.274220,640,480,320,240,342,236,27.29241943359375,31.6885986328125,864.8585251495242,69.5078125,63.200000000000024,-22,4
2024-08-15 08:41:53.626828,640,480,320,240,342,234,27.221099853515625,30.725387573242188,836.3788431691937,69.7734375,64.10000000000002,-22,6
2024-08-15 08:41:53.973467,640,480,320,240,343,235,27.88653564453125,30.039443969726562,837.6960250036791,70.1875,64.85000000000002,-23,5
2024-08-15 08:41:54.363974,640,480,320,240,337,234,27.850433349609375,31.499557495117188,877.2763265599497,69.7109375,65.75000000000003,-17,6
2024-08-15 08:41:54.756284,640,480,320,240,339,245,28.0506591796875,31.646255493164062,887.6983271520585,69.53125,65.00000000000003,-19,-5
2024-08-15 08:41:55.220901,640,480,320,240,342,246,28.658233642578125,31.5465087890625,904.0672194845974,69.796875,64.10000000000002,-22,-6
2024-08-15 08:41:55.618276,640,480,320,240,347,246,29.156341552734375,30.517532348632812,889.7795965033583,70.8046875,63.200000000000024,-27,-6
2024-08-15 08:41:56.014021,640,480,320,240,344,240,28.9461669921875,29.212738037109375,845.5967935211957,71.3671875,63.200000000000024,-24,0
2024-08-15 08:41:56.423662,640,480,320,240,341,237,29.069854736328125,29.07177734375,845.1123443096876,71.484375,63.65000000000003,-21,3
2024-08-15 08:41:56.838072,640,480,320,240,345,237,27.8924560546875,28.243576049804688,787.7827037964016,72.1953125,64.10000000000002,-25,3
2024-08-15 08:41:57.252241,640,480,320,240,335,241,29.810760498046875,29.89569091796875,891.2132818792015,71.421875,63.950000000000024,-15,-1
2024-08-15 08:41:57.642918,640,480,320,240,338,237,28.3975830078125,30.00640869140625,852.1094815805554,71.09375,64.40000000000002,-18,3
2024-08-15 08:41:58.049616,640,480,320,240,332,231,25.449676513671875,31.156036376953125,792.9110472416505,69.875,65.75000000000001,-12,9
2024-08-15 08:41:58.369534,640,480,320,240,340,224,26.234710693359375,29.780044555664062,781.2708533531986,69.84375,68.15000000000002,-20,16
2024-08-15 08:41:58.695643,640,480,320,240,343,238,26.25408935546875,29.873672485351562,784.3060668064281,70.2578125,68.45000000000002,-23,2
2024-08-15 08:41:59.012718,640,480,320,240,341,229,29.481170654296875,31.41070556640625,926.0243711750954,70.375,70.10000000000002,-21,11
